e, e_dot, e_int, stamp, 
9.490562206419364, 0.0, 1.8981124412838728, 13090000000, 
9.490562206419364, 0.0, 1.8981124412838728, 13090000000, 
9.49147734186955, 0.003050451500617631, 1.8981734503138852, 14280000000, 
9.490936188135352, 0.0012466057199607878, 1.8981983824282844, 14314000000, 
9.490836054556587, -0.002137624376542154, 1.8982166389707658, 14348000000, 
9.490767518356499, -0.0005622325961773811, 1.8981693174032293, 14450000000, 
9.488304528029396, -0.008438421757303397, 1.8979938733961654, 14518000000, 
9.483027770017802, -0.025799161128989095, 1.8974733210935797, 14552000000, 
9.475632345695105, -0.04224060778096709, 1.8964643095828204, 14654000000, 
9.467108952780096, -0.053062724125686835, 1.8950512712328669, 14722000000, 
9.458133490148175, -0.05832951848976956, 1.8933916525748917, 14756000000, 
9.448716652621778, -0.06130766719439388, 1.89159727303667, 14858000000, 
9.43772886123411, -0.06801542971354972, 1.8896386002669376, 14892000000, 
9.429590001881806, -0.06375550246657369, 1.8877357010491798, 14994000000, 
9.41929839404293, -0.06143489063726785, 1.8857744838105897, 15062000000, 
9.410228939319262, -0.0645368752084785, 1.8839411556829333, 15130000000, 
9.40019536468367, -0.06367676453086446, 1.8819815132030575, 15198000000, 
9.389960071936757, -0.06756289127501702, 1.8800256250626461, 15266000000, 
9.380423105010683, -0.06590753224328931, 1.8780385694420738, 15300000000, 
9.37067148822424, -0.06429527904172616, 1.8760703110114454, 15402000000, 
9.360217862773894, -0.06735080745596515, 1.8740874970672545, 15436000000, 
9.34984814156863, -0.06941115551869714, 1.8720491661711174, 15504000000, 
9.341575676179623, -0.062140621980901756, 1.870109445368143, 15538000000, 
9.331568537837738, -0.06093201243630849, 1.8681994903723993, 15606000000, 
9.320011989732967, -0.07187895482218802, 1.8662104135833555, 15674000000, 
9.311273073346916, -0.06765154830273919, 1.8641902400611745, 15742000000, 
9.301604098130563, -0.06135963867468064, 1.8621926107473632, 15776000000, 
9.29091788370268, -0.06785063214745553, 1.860253003678677, 15810000000, 
9.281616389003405, -0.06662569709052472, 1.8582758913891098, 15878000000, 
9.269615613543756, -0.07100756719641055, 1.8561433257499895, 15946000000, 
9.261800163405114, -0.0660540853276359, 1.8542021443968182, 16048000000, 
9.251656486693287, -0.05986375616823025, 1.8522048175761436, 16116000000, 
9.241976024918891, -0.06608046162074406, 1.8503621783344861, 16184000000, 
9.231415753995895, -0.06746910899130636, 1.8483365510405383, 16218000000, 
9.221722661709798, -0.06751121069697774, 1.8463409627083056, 16320000000, 
9.211932071882767, -0.06494560704375966, 1.8443380325058973, 16354000000, 
9.211932071882767, -0.03263529942343505, 1.843039120365022, 16354000000, 
9.191768249613554, -0.06721274089737624, 1.8410421595586057, 16490000000, 
9.181562129254688, -0.10123314209359673, 1.8390174967167339, 16558000000, 
9.17160091188341, -0.06722445910048336, 1.8363287527167769, 16592000000, 
9.16165789856411, -0.0663474356352604, 1.834321395980147, 16694000000, 
9.151513678028936, -0.06695744618157917, 1.83231816589843, 16728000000, 
9.141489136549382, -0.06722920671576205, 1.8303107142094952, 16830000000, 
9.131225156609753, -0.06762840473060787, 1.8282818647458712, 16932000000, 
9.121745357194976, -0.06581259784801692, 1.826297310023607, 16966000000, 
9.11168246485659, -0.06514230584387566, 1.8243101985774213, 17034000000, 
9.11168246485659, -0.033542974461286214, 1.823007352460544, 17034000000, 
9.090431197266959, -0.07083755863210565, 1.820919741798676, 17136000000, 
9.081724658525278, -0.09985935443770799, 1.818922554709922, 17204000000, 
9.070619313512344, -0.06603961251538355, 1.816185011286972, 17272000000, 
9.061592475894692, -0.06710727543528823, 1.8142624298621541, 17340000000, 
9.0500477037051, -0.06857203269081087, 1.8121506328741426, 17408000000, 
9.041425793872559, -0.06722227340710892, 1.8102043982314902, 17544000000, 
9.029213256031216, -0.06944815891294809, 1.808045783573925, 17612000000, 
9.021385908251865, -0.06679961873564604, 1.806134997210376, 17680000000, 
9.011652789464282, -0.05853488855644665, 1.8041501302498242, 17748000000, 
9.001436036418085, -0.06649957277926906, 1.8022983156089487, 17816000000, 
8.99015245521124, -0.07166778084347551, 1.8002160854062406, 17884000000, 
8.981692898652659, -0.065810459218086, 1.7982187593521322, 17952000000, 
8.97168147895522, -0.06156992085339633, 1.7962351221879411, 18020000000, 
8.96168350004151, -0.06669799537049788, 1.7943371918432927, 18088000000, 
8.951572189330065, -0.06703096541718523, 1.7923291445551195, 18156000000, 
8.939347153581133, -0.0744544882012536, 1.7901735228635136, 18224000000, 
8.92965363352815, -0.0730618526730531, 1.7880381984292895, 18292000000, 
8.92965363352815, -0.03231173350994728, 1.7865769613758289, 18292000000, 
8.911098579825948, -0.06185017900733669, 1.7846937231254831, 18394000000, 
8.90059997261988, -0.09684553636089888, 1.7827568123982651, 18462000000, 
8.889948466851425, -0.07050037658174209, 1.7801098012864833, 18564000000, 
8.881519427203777, -0.06360181805367422, 1.7781378577783389, 18598000000, 
8.870305418250183, -0.06547682867080813, 1.776118220820359, 18632000000, 
8.85958503703178, -0.07311463390665907, 1.7740939921657157, 18734000000, 
8.84850697277368, -0.07266148492167446, 1.7718931618703762, 18768000000, 
8.839717579703771, -0.06622485776002662, 1.769853972633949, 18802000000, 
8.831292666395392, -0.057381021260963415, 1.7679678145915227, 18870000000, 
8.82102154858349, -0.062320103734272436, 1.7661354529788436, 18938000000, 
8.81116202891965, -0.06710212491913836, 1.7642317495932354, 19006000000, 
8.801586413597144, -0.06478378328781768, 1.7622513327400189, 19074000000, 
8.78991486911384, -0.07082386601936719, 1.760177554108709, 19142000000, 
