imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.05721998796756506, 0.01252103663011532, -0.01962611672894508, 2.888213573813441e-11, -0.0008277808936761075, -3.489103935447362e-08, 0.008098262170396185, -5.068687582702372e-05, 12768000000, 
-0.0427426092568185, 0.028165468050857994, -0.0296157583236603, 1.4358450827314082e-09, -0.001226037528205581, -1.1711265354437397e-06, 0.008436009366769137, -5.725304509170145e-05, 12783000000, 
-0.03441864244093848, -0.011951833853509097, -0.03103122037144467, -1.8835691447947105e-10, -0.0018041786664670513, 1.0440036675985765e-07, 0.008499650507275898, -5.849037178020591e-05, 12839000000, 
-0.05820701242337834, -0.0021407251746291653, -0.04322745791782735, -4.304654020602925e-10, -0.002368614841796957, 1.8173718853071045e-07, 0.008613065546703802, -6.069533005691857e-05, 12923000000, 
-0.09412916704318228, 0.01976510371264127, -0.06653262244977604, 7.515197978296379e-09, -0.003525900599898615, -2.1314265009377955e-06, 0.008769813186785796, -6.374265479805385e-05, 12961000000, 
-0.05527373725522991, -0.013568195607921305, -0.058538129930592604, -5.160122581120626e-09, -0.00417767617838593, 1.235165762204736e-06, 0.008803760244521995, -6.44027599381028e-05, 12982000000, 
-0.0461465081333209, 0.015039746571933197, -0.05000330050217657, 9.96503774630692e-09, -0.0041080433617941975, -2.4257382088475975e-06, 0.008778290726436875, -6.390747004531214e-05, 13032000000, 
-0.04829129151308274, -0.008497848400117945, -0.043940422115533895, -2.7057841492206927e-09, -0.005285654519131695, 5.11910897586471e-07, 0.008810693127290414, -6.453754812024587e-05, 13131000000, 
-0.08777129352515657, -0.020106606606959336, -0.06278372945096827, -2.3245763700544835e-08, -0.004561756897809712, 5.095791867318946e-06, 0.008857045830547, -6.543892256150314e-05, 13186000000, 
-0.057177215178478805, 0.00455020099504045, -0.021104043998550294, -5.142153151210041e-09, -0.004096201973153107, 1.255346583228121e-06, 0.007863837235598846, -4.612765576961515e-05, 14377000000, 
-0.08012292485087427, -0.020006435369642726, -0.047071521043455716, -1.1108198863211041e-08, -0.0025722631751280097, 4.318453481206579e-06, 0.008451156923051917, -5.7548223621369955e-05, 14382000000, 
-0.060446743784515644, 0.02138364394518166, -0.05205382640844888, 2.1755398467604465e-09, -0.0031457188240726604, -6.915875093832593e-07, 0.008559832973396433, -5.965995851849466e-05, 14387000000, 
-0.070490204624364, 0.014937704938661058, -0.059108590648028175, 9.612428004112948e-09, -0.0037834675012786657, -2.5406397704921e-06, 0.008634216212240945, -6.110544717893024e-05, 14424000000, 
-0.07984868253868843, 0.034047562388490056, -0.05151118082814305, 0.0003048333970857116, 0.034850076207985525, 0.008746993701433062, 0.011307682157045255, -0.00011377020752341871, 14551000000, 
-0.06487954530440587, 0.05596712199835374, -0.044764529258126046, 0.00773384323258469, 0.06284814230306814, 0.123056035535471, 0.0170270259958994, -0.00020471138927131855, 14604000000, 
-0.034965802626706434, 0.07036920719614577, -0.030195741731391144, 0.016330160229193393, 0.08247504367262044, 0.19800123166972727, 0.02500808775672934, -0.000243291310068326, 14655000000, 
-0.029072058141460955, 0.04174645182631864, -0.02494869664494732, 0.02718023587639217, 0.09091955663975519, 0.2989481788179709, 0.03413085580490633, -9.598808924970581e-05, 14720000000, 
